,launch_speed,launch_angle,woba_value
1247,36.2,-30.0,0.0
1252,90.4,16.0,0.9
1266,78.4,39.0,0.0
1270,92.0,67.0,0.0
1277,98.3,58.0,0.0
1278,68.8,22.0,0.9
1279,110.5,14.0,1.25
1283,72.2,0.0,0.0
1286,83.5,25.0,0.9
1299,99.4,1.0,0.0
1300,59.6,-33.0,0.0
1312,86.5,13.0,0.9
1317,89.1,-8.0,0.0
1337,63.2,-54.0,0.0
1340,100.8,36.0,0.0
1344,95.5,70.0,0.0
1347,103.1,13.0,0.9
1351,90.6,22.0,1.25
1354,101.9,59.0,0.0
1358,117.9,21.0,2.0
1366,94.3,27.0,0.0
1370,102.0,20.0,0.0
1374,97.2,38.0,2.0
1381,84.2,43.0,0.0
1383,96.5,45.0,0.0
1384,101.1,-11.0,0.0
1387,71.9,-18.0,0.0
1393,77.0,17.0,0.9
1401,69.2,8.0,0.0
1403,86.0,24.0,0.0
1405,57.2,-62.0,0.0
1411,88.7,-27.0,0.9
1418,76.0,20.0,0.9
1425,67.6,-3.0,0.0
1427,72.9,15.0,0.0
1433,99.4,18.0,0.9
1445,108.6,8.0,0.0
1451,98.5,-4.0,0.9
1461,98.3,5.0,1.25
1467,100.4,31.0,0.0
1471,92.7,-23.0,0.0
1475,82.6,-29.0,0.0
1479,107.1,13.0,1.25
1500,68.4,35.0,0.9
1504,72.8,3.0,0.9
1510,84.0,-7.0,0.0
1518,81.6,-51.0,0.0
1527,101.2,5.0,0.0
1528,96.0,41.0,0.0
1540,96.7,17.0,0.0
1545,81.9,31.0,1.6
1548,79.0,61.0,0.0
1549,83.8,46.0,0.0
1555,99.9,11.0,0.9
1561,97.2,4.0,0.0
1563,74.6,-35.0,0.0
1569,81.2,45.0,0.0
1580,104.4,-1.0,0.0
1591,91.2,19.0,0.0
1602,68.1,61.0,0.0
1611,80.5,6.0,0.0
1619,61.0,-41.0,0.0
1628,66.8,-13.0,0.0
1636,91.9,9.0,0.0
1641,90.5,7.0,0.0
1642,95.8,11.0,0.9
1647,81.1,22.0,1.25
1649,15.4,-45.0,0.0
1650,93.4,13.0,0.9
1659,90.3,29.0,0.0
1664,92.3,44.0,0.0
1665,98.3,1.0,0.9
1668,94.3,40.0,0.0
1674,93.8,6.0,0.9
1675,85.4,87.0,0.0
1682,87.4,-28.0,0.0
1686,94.9,-21.0,0.0
1690,85.3,77.0,0.0
