,launch_speed,launch_angle,woba_value
86282,102.9,45.0,0.0
86283,100.7,11.0,0.9
86288,103.6,26.0,0.0
86293,93.8,-36.0,0.0
86301,70.6,-21.0,0.0
86305,81.7,-30.0,0.0
86308,102.3,21.0,0.0
86313,102.8,1.0,0.0
86314,68.2,-19.0,0.0
86317,96.6,-17.0,0.0
86322,86.2,54.0,0.0
86324,67.9,-21.0,0.0
86325,89.8,21.0,0.0
86342,65.7,-37.0,0.0
86353,101.0,-5.0,0.0
86356,86.6,-8.0,0.0
86357,75.5,25.0,0.9
86368,88.0,35.0,0.0
86373,99.4,4.0,0.9
86384,97.8,22.0,0.0
86389,93.1,58.0,0.0
86393,95.7,-13.0,0.0
86396,78.3,38.0,0.0
86406,90.7,40.0,0.0
86407,103.8,34.0,2.0
86410,101.5,6.0,0.9
86411,74.3,13.0,0.0
86416,83.1,29.0,0.0
86422,88.6,29.0,0.0
86426,106.8,-9.0,0.0
86429,74.0,0.0,0.0
86430,39.1,-56.0,0.0
86431,98.3,-12.0,0.9
86438,93.6,17.0,0.9
86442,90.6,42.0,0.0
86448,81.7,5.0,0.0
86458,64.0,48.0,0.0
86459,72.0,-24.0,0.0
86462,106.7,26.0,2.0
86465,78.8,-19.0,0.0
86475,95.6,36.0,0.0
86483,69.5,33.0,0.9
86492,95.5,21.0,0.0
86494,104.9,-20.0,0.0
86498,90.6,47.0,0.0
86503,86.0,3.0,0.0
86505,100.1,41.0,2.0
86508,99.7,36.0,0.0
86515,60.2,-53.0,0.9
86516,78.9,-14.0,0.0
86517,86.3,48.0,0.0
86524,97.7,-11.0,0.0
86532,107.2,2.0,0.9
86533,85.5,10.0,0.0
86539,87.8,-13.0,0.0
86545,90.7,4.0,0.9
86556,74.2,30.0,0.0
86563,83.2,-33.0,0.0
86574,95.0,34.0,2.0
86577,86.1,35.0,0.9
86579,104.1,-5.0,0.9
86590,91.2,33.0,0.0
86591,83.5,11.0,0.9
86594,90.6,61.0,0.0
86611,111.2,11.0,0.9
86616,44.0,27.0,0.0
86623,93.3,50.0,0.0
86636,97.1,16.0,0.9
86656,85.4,43.0,0.0
86666,90.4,27.0,0.0
86671,83.3,65.0,0.0
86673,50.8,-29.0,0.0
86680,71.9,47.0,0.0
86684,111.1,14.0,1.25
86687,76.2,35.0,0.0
86712,101.5,15.0,0.9
86713,89.5,36.0,0.0
86717,103.5,26.0,2.0
86732,92.2,37.0,0.0
86748,105.4,15.0,1.25
86756,94.1,63.0,0.0
86769,89.3,2.0,0.0
86773,70.9,-15.0,0.0
86775,99.2,42.0,0.0
86778,110.0,-22.0,0.0
86786,86.3,27.0,0.0
86792,95.2,-4.0,0.0
86794,101.4,28.0,0.0
86821,90.7,29.0,0.0
86825,95.5,8.0,0.9
86827,23.6,23.0,0.0
86828,75.9,8.0,0.9
86835,100.2,29.0,0.0
86838,79.7,22.0,0.9
86842,82.2,-18.0,0.0
86847,96.4,3.0,0.0
86855,104.1,10.0,0.0
86862,46.7,50.0,0.0
86864,104.5,14.0,0.9
86885,88.3,23.0,0.0
86889,68.0,-14.0,0.0
86897,75.0,32.0,0.0
86910,103.1,39.0,0.0
86926,57.3,-83.0,0.9
86944,77.6,-8.0,0.0
86949,108.4,1.0,0.9
86953,99.9,24.0,0.0
86956,79.8,43.0,0.0
86964,86.7,-2.0,0.0
86969,72.4,36.0,1.25
86971,92.1,61.0,0.0
86974,86.4,56.0,0.0
86976,71.4,48.0,0.0
86990,93.8,-2.0,0.0
87004,87.4,50.0,0.0
87006,101.0,3.0,0.0
87021,99.6,22.0,0.0
87022,59.7,-51.0,0.0
87025,98.7,8.0,0.9
87026,106.2,25.0,2.0
87031,80.6,-20.0,0.0
87032,70.1,42.0,0.0
87043,93.8,-17.0,0.0
87045,110.6,8.0,1.25
87046,88.2,48.0,0.0
87048,98.4,-6.0,0.0
87052,83.6,26.0,0.0
87055,22.7,18.0,0.0
87058,96.6,16.0,0.9
87060,42.8,-38.0,0.0
87061,97.3,-6.0,0.0
87063,96.6,30.0,0.9
87064,94.2,21.0,0.0
87069,102.6,23.0,0.0
87071,57.3,2.0,0.0
87072,105.1,11.0,0.9
87077,96.3,4.0,0.9
87083,69.9,28.0,0.9
87084,98.2,1.0,0.9
87088,87.3,-18.0,0.0
87093,99.2,3.0,0.0
87097,99.4,-22.0,1.25
87098,106.1,31.0,0.0
87109,98.1,35.0,2.0
87110,104.3,17.0,0.9
87118,90.2,24.0,0.0
87121,98.6,35.0,0.0
87125,106.4,10.0,0.0
87128,78.8,-18.0,0.0
87133,72.8,41.0,0.9
87138,91.8,-10.0,0.0
87142,67.1,35.0,0.0
87150,37.4,-40.0,0.0
87154,97.5,-20.0,0.0
87157,83.6,-34.0,0.9
87162,90.1,-6.0,0.0
87166,58.5,63.0,0.0
87170,92.9,17.0,0.9
87189,103.4,-19.0,0.0
87192,80.7,-35.0,0.0
87194,38.9,-16.0,0.0
87196,96.4,52.0,0.0
87201,90.7,34.0,0.0
87203,105.3,40.0,2.0
87207,80.3,-12.0,0.0
87219,80.4,-7.0,0.0
87223,110.7,24.0,2.0
87228,52.6,-13.0,0.0
87239,82.9,16.0,0.9
87241,111.8,18.0,0.0
87242,93.2,16.0,0.9
87247,71.0,34.0,1.25
87248,92.8,1.0,0.0
87254,101.2,-2.0,0.9
87264,88.6,36.0,0.0
87278,101.4,6.0,0.0
87293,109.9,-12.0,0.0
87294,95.9,41.0,0.0
87300,75.6,61.0,0.0
87313,88.9,-25.0,0.0
87332,96.9,-9.0,0.0
87341,79.2,-21.0,0.0
87359,82.3,-24.0,0.0
87364,89.5,-33.0,0.0
87370,113.2,25.0,2.0
87372,90.7,1.0,0.0
87382,104.5,22.0,2.0
87391,101.8,5.0,0.0
87397,61.5,-53.0,0.0
87401,82.0,-5.0,0.9
87406,84.6,-8.0,0.0
87418,99.5,32.0,0.0
87419,100.8,13.0,0.9
87423,90.9,47.0,0.0
87433,100.1,4.0,0.9
87436,92.4,15.0,0.9
87438,93.5,10.0,0.9
87442,103.0,20.0,0.0
87444,98.5,8.0,0.0
87451,82.5,-6.0,0.0
87454,89.3,16.0,0.9
87461,94.4,29.0,1.25
87480,99.5,-7.0,0.0
87487,102.2,18.0,0.0
87496,89.1,-16.0,0.9
87501,91.5,29.0,0.0
87502,100.1,33.0,0.0
87519,100.9,-5.0,0.0
87522,86.6,56.0,0.0
87528,90.1,-12.0,0.0
87532,102.3,24.0,0.0
87533,100.2,31.0,0.0
87539,79.2,64.0,0.0
87541,106.8,24.0,2.0
87552,99.8,25.0,0.0
87561,116.7,23.0,2.0
87577,102.4,47.0,0.0
87579,68.5,-61.0,0.0
87582,96.7,15.0,0.9
87591,91.0,44.0,0.0
87593,82.6,17.0,0.9
87602,62.8,15.0,0.0
87604,95.2,15.0,0.9
87612,88.3,46.0,0.0
87621,94.3,-35.0,0.0
87627,95.4,52.0,0.0
87630,102.1,30.0,2.0
87634,87.9,-16.0,0.0
87635,101.9,-26.0,0.0
87638,79.9,33.0,1.25
87639,103.6,2.0,0.0
87646,93.7,49.0,0.0
87657,83.2,-18.0,0.0
87659,59.9,48.0,0.0
87665,96.5,18.0,0.0
87666,97.5,-20.0,0.0
87689,69.1,42.0,0.9
87694,75.7,14.0,0.9
87700,56.2,39.0,0.9
87701,115.0,16.0,1.25
87709,94.0,32.0,0.0
87718,81.4,-20.0,0.0
87727,91.6,8.0,0.9
87728,102.0,5.0,0.0
87729,104.5,-4.0,0.9
87734,96.3,34.0,0.0
87745,59.7,15.0,0.0
87748,78.2,33.0,0.0
87749,50.4,-48.0,0.0
87751,92.7,11.0,0.9
87753,75.9,-3.0,0.0
87754,95.2,28.0,1.6
87757,89.8,0.0,0.0
87761,98.5,41.0,0.0
87764,76.2,24.0,1.25
87770,95.1,37.0,2.0
87776,88.5,32.0,0.0
87777,96.5,21.0,0.0
87781,101.1,15.0,0.9
87782,68.9,0.0,0.0
87790,84.1,-27.0,0.0
87797,104.5,33.0,2.0
87799,66.2,-32.0,0.0
87802,99.0,27.0,1.6
87810,87.8,2.0,0.9
87814,79.4,-18.0,0.0
87817,86.6,14.0,0.9
87829,85.4,17.0,0.9
87834,104.7,-7.0,0.0
87836,74.7,-17.0,0.0
87853,98.8,-5.0,0.0
87857,110.8,11.0,0.9
87860,100.7,7.0,0.9
87878,88.3,-33.0,0.0
87882,98.5,-13.0,0.0
87885,65.7,79.0,0.0
87887,103.6,12.0,0.9
87894,105.5,-10.0,1.25
87899,78.5,-63.0,0.0
87902,98.5,-3.0,0.0
87903,88.2,-31.0,0.0
87905,104.5,12.0,0.9
87908,81.9,-4.0,0.0
87912,91.1,-19.0,0.0
87913,99.3,28.0,0.0
87917,90.4,-15.0,0.0
87924,71.0,-4.0,0.0
87936,82.8,42.0,0.0
87940,95.8,39.0,1.25
87944,91.9,-10.0,0.0
87960,66.1,89.0,0.0
87974,88.9,-22.0,0.0
87976,86.9,3.0,0.0
87984,100.4,15.0,1.25
88001,103.8,20.0,2.0
88009,98.4,24.0,0.0
88012,64.1,57.0,0.0
88015,87.1,25.0,0.0
88022,69.2,15.0,0.9
88029,98.9,-14.0,0.0
88036,105.2,39.0,2.0
88041,88.8,29.0,0.0
88047,88.5,17.0,0.9
88049,109.2,5.0,0.9
88060,101.1,1.0,0.9
88064,95.8,44.0,0.0
88067,69.6,59.0,0.0
88070,98.6,-2.0,0.9
88081,99.6,-8.0,0.0
88083,98.0,3.0,0.9
88088,72.4,12.0,0.0
88091,93.3,-23.0,0.0
88103,102.5,8.0,0.0
88109,92.1,0.0,0.0
88110,108.5,28.0,2.0
88125,47.4,-33.0,0.0
88130,102.1,-10.0,0.0
88131,80.9,45.0,0.0
88134,89.8,20.0,0.0
88140,97.7,39.0,0.0
88143,85.4,35.0,0.0
88148,80.0,-37.0,0.0
88154,108.2,31.0,2.0
88162,95.7,31.0,1.25
88166,108.7,19.0,1.25
88168,94.4,56.0,0.0
88175,104.8,27.0,2.0
88182,103.3,16.0,0.9
88183,103.8,9.0,0.9
88186,99.4,39.0,2.0
88188,84.3,16.0,0.9
88192,101.1,19.0,1.25
88193,105.9,11.0,1.25
88204,71.8,-22.0,0.0
88206,66.2,32.0,0.9
88211,77.3,-38.0,0.0
88212,78.2,23.0,0.9
88229,63.1,37.0,0.0
88235,113.2,24.0,2.0
88246,94.5,-16.0,0.0
88248,88.8,39.0,0.0
88270,90.1,81.0,0.0
88272,90.7,2.0,0.9
88274,102.0,31.0,2.0
88286,103.1,11.0,0.9
88289,73.3,-9.0,0.0
88295,97.8,-4.0,0.9
88303,96.8,-2.0,0.0
88307,101.0,21.0,1.25
88311,98.3,23.0,0.0
88321,94.9,24.0,0.0
88330,110.6,23.0,2.0
88334,94.9,3.0,0.9
88338,109.8,8.0,0.9
88340,94.7,31.0,2.0
88342,100.4,17.0,0.9
88347,94.6,21.0,0.0
88353,56.7,32.0,0.9
88356,104.2,14.0,0.9
88358,104.2,22.0,2.0
88360,99.9,5.0,0.9
88367,107.5,29.0,2.0
88371,107.3,7.0,0.9
88385,93.7,-17.0,0.0
88386,93.1,63.0,0.0
88391,72.4,62.0,0.0
88393,25.6,-6.0,0.0
88403,83.8,54.0,0.0
88411,104.0,-12.0,0.0
88415,98.4,15.0,0.0
88420,88.7,71.0,0.0
88426,90.6,46.0,0.0
88429,97.1,54.0,0.0
88430,86.9,26.0,0.0
88437,85.3,59.0,0.0
88446,97.0,-9.0,0.0
88450,94.1,-8.0,0.0
88455,67.6,87.0,0.0
88467,110.7,12.0,1.25
88474,101.9,34.0,2.0
88482,85.0,-34.0,0.0
88494,105.8,-7.0,0.0
88500,93.7,21.0,0.0
88503,67.2,69.0,0.0
88505,107.0,3.0,0.9
88508,73.0,4.0,0.0
88514,52.0,-75.0,0.0
88518,92.0,29.0,0.0
88529,99.3,4.0,0.0
88532,107.2,3.0,0.0
88534,77.8,43.0,0.0
88535,89.9,59.0,0.0
88546,95.4,55.0,0.0
88553,75.1,27.0,1.25
88558,97.6,16.0,0.0
88567,99.5,0.0,0.0
88570,84.3,-1.0,0.0
88573,100.6,32.0,0.0
88588,76.2,-26.0,0.0
88592,84.4,-31.0,0.0
88600,102.6,-1.0,0.0
88604,108.0,7.0,0.9
88605,98.1,41.0,0.0
88607,99.1,3.0,0.9
88614,110.6,42.0,2.0
88616,102.6,11.0,0.9
88619,82.1,-20.0,0.0
88621,86.9,6.0,0.9
88624,97.8,15.0,0.9
88625,74.9,-59.0,0.9
88635,96.4,43.0,0.0
88639,69.3,11.0,0.0
88645,88.6,11.0,0.0
88646,96.8,70.0,0.0
88666,95.5,29.0,2.0
88685,99.6,36.0,0.0
88686,79.5,-8.0,0.0
88692,91.9,9.0,0.0
88695,100.0,41.0,0.0
88699,95.2,2.0,0.9
88705,83.4,-5.0,0.0
88715,101.9,-2.0,0.0
88718,85.0,31.0,0.0
88719,45.1,-76.0,0.0
88743,103.2,8.0,0.0
88744,105.1,24.0,2.0
88752,100.6,-19.0,0.0
88770,88.1,-13.0,0.0
88773,98.9,-3.0,0.0
88779,104.0,14.0,0.9
88781,97.6,34.0,1.6
88782,105.8,13.0,1.25
88803,81.2,-7.0,0.0
88806,108.5,36.0,2.0
88813,104.3,23.0,2.0
88816,70.6,20.0,0.9
88823,64.9,-4.0,0.0
88827,103.0,36.0,2.0
88831,70.0,7.0,0.0
88834,105.2,19.0,0.9
88842,103.5,12.0,0.9
88844,88.0,39.0,0.0
88856,58.0,-61.0,0.0
88862,85.3,7.0,0.9
88869,76.1,30.0,0.0
88879,82.6,46.0,0.0
88885,86.2,34.0,0.0
88890,44.1,83.0,0.0
88896,99.6,10.0,0.9
88905,81.7,-39.0,0.0
88907,106.7,9.0,0.9
88915,92.4,20.0,1.25
88927,76.9,12.0,0.0
88929,74.6,23.0,0.9
88930,105.4,2.0,0.9
88938,86.9,38.0,0.0
88953,87.2,42.0,0.0
88971,80.5,-18.0,0.0
88974,97.3,44.0,0.0
88979,96.1,-10.0,0.0
88992,98.2,63.0,0.0
88995,76.9,10.0,0.0
89013,95.2,-14.0,0.0
89017,47.7,37.0,0.0
89026,109.8,16.0,0.0
89030,53.7,-61.0,0.0
89039,86.7,12.0,0.9
89044,106.8,34.0,2.0
89045,34.0,-80.0,0.0
89048,88.6,14.0,0.9
89064,74.9,29.0,0.9
89074,94.1,36.0,0.0
89076,93.4,-16.0,0.9
89084,97.3,-15.0,0.9
89086,92.4,-27.0,0.0
89092,92.5,24.0,0.0
89098,95.8,-6.0,0.9
89101,100.6,49.0,1.6
89105,97.6,-13.0,0.9
89111,82.0,60.0,0.0
89123,29.2,-43.0,0.0
89133,96.7,6.0,0.9
89138,84.0,17.0,0.9
89140,99.8,0.0,0.9
89147,75.8,27.0,0.0
89150,93.0,-8.0,0.0
89154,91.8,66.0,0.0
89163,98.7,33.0,2.0
89167,101.8,11.0,0.9
89181,93.0,29.0,1.25
89188,67.5,5.0,0.0
89192,57.1,-32.0,0.0
89194,98.4,5.0,0.9
89200,101.5,19.0,1.25
89205,95.6,-13.0,0.9
89208,85.2,55.0,0.0
89211,101.1,37.0,0.0
89215,106.6,21.0,1.25
89221,95.1,48.0,0.0
89228,83.4,1.0,0.0
89243,48.6,-43.0,0.0
89247,100.5,1.0,0.9
89252,74.6,72.0,0.0
89263,80.9,-2.0,0.9
89269,88.6,26.0,0.0
89272,83.4,8.0,0.9
89274,89.1,25.0,1.25
89279,70.4,35.0,0.9
89289,97.7,65.0,0.0
89309,109.6,31.0,2.0
89313,91.8,63.0,0.0
89315,106.7,43.0,2.0
89319,69.4,6.0,0.0
89337,81.9,0.0,0.0
89350,86.1,-15.0,0.0
89356,90.5,-5.0,0.0
89360,51.3,27.0,0.0
89364,107.9,28.0,2.0
89367,105.7,-18.0,0.0
89373,73.8,1.0,0.0
89377,90.8,-4.0,1.25
89383,95.3,7.0,0.0
89388,111.7,20.0,2.0
89389,76.1,49.0,0.0
89395,92.1,13.0,0.0
89396,91.6,-8.0,1.25
89403,57.2,-82.0,0.0
89404,36.4,2.0,1.25
89405,67.7,72.0,0.0
89428,107.1,8.0,0.9
89430,63.0,-42.0,0.0
89431,81.6,24.0,0.0
89438,87.7,37.0,0.0
89443,52.3,-29.0,0.0
89445,84.2,-1.0,0.0
89446,93.7,-7.0,0.0
89448,85.2,16.0,0.9
89454,96.3,3.0,0.9
89458,91.4,29.0,0.0
89460,65.2,59.0,0.0
89463,103.3,10.0,0.0
89464,73.1,15.0,0.9
89473,76.9,-35.0,0.0
89476,99.7,-6.0,1.25
89481,74.1,46.0,0.0
89483,64.6,-18.0,0.0
89487,110.3,7.0,0.0
89490,107.3,7.0,0.0
89506,79.5,72.0,0.0
89509,91.5,-9.0,0.0
89511,67.4,2.0,0.9
89515,102.5,24.0,0.0
89519,86.7,65.0,0.0
89535,97.8,28.0,2.0
89537,100.4,50.0,0.0
89539,85.8,29.0,0.0
89541,96.8,29.0,0.9
89552,86.2,26.0,1.25
89555,104.0,-14.0,0.0
89560,72.8,72.0,0.0
89570,88.7,67.0,0.0
89571,90.7,16.0,0.9
89577,99.6,6.0,0.0
89581,85.8,-4.0,0.0
89584,97.8,-13.0,0.0
89588,100.8,15.0,0.9
89600,96.2,17.0,0.0
89604,94.8,38.0,0.0
89605,84.9,3.0,0.9
89614,58.6,46.0,0.0
89615,112.2,6.0,0.9
89622,74.6,63.0,0.0
89624,82.3,47.0,0.0
89628,91.3,20.0,0.0
89631,90.6,1.0,0.9
89636,72.9,0.0,0.9
89638,108.5,6.0,0.9
89643,90.5,7.0,0.0
89649,97.0,35.0,2.0
89655,97.7,27.0,2.0
89658,85.6,49.0,0.0
89662,80.2,37.0,0.0
89666,109.2,24.0,2.0
89673,75.7,82.0,0.0
89679,100.5,-7.0,0.0
89684,106.4,20.0,1.25
89686,106.0,-28.0,0.9
89700,103.6,3.0,0.9
89723,81.5,22.0,0.9
89726,106.0,29.0,2.0
89729,62.2,-14.0,0.0
89733,78.0,58.0,0.0
89735,98.6,34.0,2.0
89737,88.7,-4.0,0.0
89739,99.4,12.0,1.25
89749,101.2,15.0,0.9
89755,93.5,67.0,0.0
89757,81.5,71.0,0.0
89762,102.3,23.0,1.25
89763,104.1,22.0,2.0
89767,87.8,5.0,0.0
89772,104.9,18.0,1.25
89778,103.7,35.0,2.0
89779,108.9,-2.0,1.25
89789,93.6,-27.0,0.0
89793,101.1,24.0,0.0
89795,85.1,24.0,0.0
89796,98.3,22.0,1.25
89797,81.4,-5.0,0.0
89803,95.7,24.0,0.0
89805,71.2,27.0,0.9
89818,102.5,26.0,0.0
89819,102.0,20.0,1.25
89824,103.3,-18.0,0.0
89836,43.6,-53.0,0.0
89837,91.6,-13.0,0.9
89840,31.9,-15.0,0.0
89841,109.1,7.0,0.9
89843,96.8,46.0,0.0
89854,64.2,13.0,0.9
89867,101.1,-4.0,0.0
89872,106.8,6.0,0.9
89875,111.0,22.0,2.0
89877,102.8,32.0,2.0
89884,99.1,60.0,0.0
89890,82.8,50.0,0.0
89894,106.5,5.0,0.0
89899,84.8,-11.0,0.9
89905,90.9,44.0,0.0
89911,88.8,-2.0,0.0
89915,80.1,52.0,0.0
89921,98.2,-13.0,0.0
89922,89.2,43.0,0.0
89935,70.1,17.0,0.0
89936,46.2,-64.0,0.0
89942,58.0,47.0,0.0
89944,81.1,13.0,0.9
89946,88.1,7.0,0.9
89951,106.7,10.0,1.25
89954,90.2,34.0,0.0
89958,92.9,3.0,1.25
89975,95.4,22.0,1.25
89978,73.1,14.0,0.0
89983,44.9,-8.0,0.0
89984,48.5,-65.0,0.0
89986,68.8,28.0,1.25
89989,81.0,60.0,0.0
89990,85.7,-41.0,0.0
90002,90.3,0.0,0.0
90010,87.1,-43.0,0.0
90018,88.6,33.0,0.0
90020,78.2,-8.0,0.0
90022,82.6,37.0,0.0
90023,106.1,11.0,0.9
90032,89.2,32.0,0.0
90045,95.7,15.0,0.9
90058,101.8,-13.0,0.0
90064,80.7,-72.0,0.0
90067,104.8,31.0,2.0
90071,100.6,51.0,0.0
90079,91.3,8.0,0.0
90083,100.4,38.0,0.0
90088,104.5,13.0,0.9
90092,97.7,34.0,0.0
90096,78.1,79.0,0.0
90098,104.8,1.0,0.9
90100,36.5,-18.0,0.9
90102,76.7,9.0,1.25
90107,78.5,28.0,0.0
90110,106.6,10.0,0.9
90113,104.1,49.0,0.0
90117,86.0,-3.0,0.0
90119,42.9,-24.0,0.0
90123,94.5,25.0,0.0
90126,71.0,-11.0,0.0
90128,101.8,34.0,2.0
90135,82.3,-2.0,0.0
90138,91.4,14.0,0.9
90143,90.9,67.0,0.0
90145,108.5,26.0,2.0
90149,94.9,21.0,1.25
90151,67.7,76.0,0.0
90160,102.3,25.0,2.0
90165,81.9,17.0,0.9
90166,81.5,3.0,0.0
90169,56.2,-2.0,0.0
90175,78.9,-12.0,0.0
90178,78.7,-23.0,0.0
90183,93.8,34.0,0.0
90189,77.2,67.0,0.0
90193,94.4,20.0,0.0
90195,104.8,17.0,1.25
90199,93.5,52.0,0.0
90200,82.8,66.0,0.0
90206,87.7,28.0,0.0
90207,105.4,1.0,0.0
90210,32.6,-21.0,0.0
90213,89.3,29.0,0.0
90219,92.2,37.0,0.0
90222,86.9,71.0,0.0
90230,87.5,-30.0,0.0
90234,84.0,10.0,0.0
90236,91.2,39.0,0.0
90240,85.5,35.0,0.0
90243,95.6,21.0,1.25
90251,98.2,7.0,0.0
90253,101.6,33.0,2.0
90268,107.9,9.0,0.9
90269,102.2,2.0,1.25
90279,112.2,7.0,0.9
90283,97.4,25.0,2.0
90295,66.3,-1.0,0.0
90299,86.3,-25.0,0.0
90305,96.3,-30.0,0.0
90311,67.1,62.0,0.0
90313,100.6,11.0,0.9
90316,105.7,25.0,1.25
90319,80.3,-8.0,0.0
90321,105.5,-23.0,0.0
90327,107.1,13.0,1.25
90328,103.2,9.0,0.9
90334,74.8,-31.0,0.0
90344,93.8,55.0,0.0
90348,108.8,35.0,2.0
90353,86.3,52.0,0.0
90354,80.8,67.0,0.0
90363,96.6,12.0,0.9
90367,86.4,-26.0,0.0
90372,53.0,40.0,0.0
90377,71.0,12.0,0.0
90382,85.1,14.0,0.9
90387,97.6,-4.0,0.0
90391,96.7,17.0,0.0
90394,105.7,-14.0,0.0
90414,59.6,24.0,0.0
90417,47.0,22.0,0.9
90426,64.6,86.0,0.0
90431,73.2,-5.0,0.0
90448,66.3,-38.0,0.0
90449,101.2,-1.0,0.0
90451,68.7,12.0,0.0
90457,101.0,-4.0,0.9
90459,97.0,35.0,0.0
90461,72.9,-52.0,0.0
90465,74.2,0.0,0.0
90475,93.3,22.0,0.0
90479,71.8,38.0,0.0
90483,72.0,15.0,0.0
90498,87.3,-25.0,0.0
90505,84.6,61.0,0.0
90506,91.5,23.0,0.0
90519,67.2,-3.0,0.0
90521,99.2,33.0,0.0
90529,102.6,3.0,0.0
90548,60.1,-25.0,0.0
90554,92.1,39.0,0.0
90556,82.3,67.0,0.0
90561,93.0,-18.0,0.0
90581,101.0,68.0,0.0
90588,68.7,29.0,0.9
90594,104.6,13.0,1.25
90595,95.6,12.0,0.9
90598,93.3,52.0,0.0
90600,86.8,38.0,0.0
90613,81.1,-23.0,0.0
90615,88.7,29.0,0.0
90616,106.3,17.0,1.25
90618,84.0,53.0,0.0
90626,72.1,-1.0,0.0
90638,106.3,11.0,0.9
90640,103.1,-3.0,0.0
90644,34.2,-87.0,0.0
90647,85.1,23.0,0.9
90651,100.6,-25.0,0.0
90652,104.9,-22.0,0.0
90653,94.7,17.0,0.0
90657,99.1,22.0,1.25
90660,97.1,-8.0,0.0
90667,109.8,6.0,0.9
90675,85.5,-4.0,0.0
90682,85.7,29.0,0.0
90683,92.6,3.0,0.0
90689,91.9,41.0,0.0
90699,96.6,33.0,0.0
90704,102.6,20.0,1.25
90706,92.8,23.0,0.0
90713,92.4,-7.0,0.0
90717,106.5,7.0,0.9
90737,79.1,56.0,0.0
90746,103.5,7.0,0.9
90748,68.8,-4.0,0.0
90749,103.0,24.0,0.0
90760,92.1,84.0,0.0
90768,78.7,15.0,0.0
90770,98.8,32.0,2.0
90773,99.4,44.0,0.0
90793,104.4,-5.0,0.0
90799,86.4,25.0,1.25
90804,102.8,13.0,1.25
90822,93.4,-25.0,0.0
90834,103.5,20.0,0.0
90837,87.5,-11.0,0.0
90840,108.3,-14.0,0.0
90845,87.0,15.0,0.9
90847,104.9,4.0,0.0
90849,84.2,-4.0,0.0
90862,95.4,10.0,1.25
90864,103.2,8.0,0.0
90873,95.6,9.0,1.25
90876,103.2,0.0,0.9
90878,98.2,28.0,2.0
90879,104.6,0.0,0.9
90885,101.9,8.0,0.9
90886,79.9,82.0,0.0
90906,102.2,1.0,0.9
90910,86.5,21.0,0.0
90916,96.3,48.0,0.0
90921,62.9,-26.0,0.0
90923,103.7,33.0,2.0
90925,96.8,-6.0,0.9
90926,89.2,32.0,0.0
90934,74.8,-22.0,0.0
90938,104.2,-1.0,0.0
90946,102.1,19.0,0.0
90977,86.0,78.0,0.0
90978,92.3,1.0,0.0
90986,99.5,-5.0,0.0
91001,94.6,-3.0,0.0
91007,78.4,20.0,0.9
91012,88.5,2.0,0.9
91021,64.3,-32.0,0.0
91023,85.7,8.0,0.0
91033,97.5,17.0,0.0
91038,75.9,67.0,0.0
91042,86.2,-35.0,0.0
91048,98.4,2.0,1.25
91051,82.8,-24.0,0.0
91057,97.5,30.0,0.0
91059,57.6,-51.0,0.0
91066,84.0,-30.0,0.0
91067,83.1,-34.0,0.0
91076,108.5,17.0,1.25
91078,98.2,0.0,0.0
91082,97.4,33.0,2.0
91087,94.7,-3.0,0.9
91094,95.4,5.0,0.0
91104,76.4,-15.0,0.0
91105,83.7,-11.0,0.0
91129,56.5,-43.0,0.0
91131,94.1,36.0,0.0
91139,99.0,16.0,0.0
91146,97.0,16.0,1.25
91148,101.8,28.0,2.0
91149,110.0,-9.0,0.9
91150,77.4,48.0,0.0
91162,98.3,49.0,0.0
91167,20.9,-44.0,0.0
91171,82.1,20.0,1.25
91191,90.9,-32.0,0.0
91192,98.1,25.0,0.0
91196,88.6,42.0,0.0
91200,88.5,1.0,0.0
91204,44.7,-56.0,0.0
91215,101.1,-8.0,0.0
91216,108.7,-6.0,0.9
91217,99.2,19.0,0.0
91230,101.8,9.0,0.9
91233,102.3,-13.0,0.0
91237,89.6,32.0,0.0
91244,96.3,29.0,0.0
91245,93.5,78.0,0.0
91254,97.9,22.0,1.25
91265,106.4,15.0,0.9
91266,54.2,-36.0,0.0
91273,73.9,-27.0,0.0
91282,95.0,17.0,0.0
91291,96.4,18.0,0.0
91292,60.6,-9.0,0.0
91296,62.1,71.0,0.0
91297,64.0,58.0,0.0
91302,27.3,-19.0,0.0
91308,85.7,11.0,0.9
91310,89.7,33.0,0.0
91323,102.4,6.0,0.9
91336,74.2,-23.0,0.0
91344,56.0,25.0,0.0
91348,78.7,-47.0,0.0
91353,107.7,14.0,1.25
91368,109.6,-16.0,0.0
91374,63.7,-22.0,0.0
91376,88.6,20.0,1.25
91382,64.2,18.0,0.0
91385,94.0,-9.0,0.0
91395,91.3,31.0,0.0
91398,88.1,-2.0,0.0
91408,93.1,-5.0,0.0
91409,93.1,-25.0,0.0
91411,108.9,10.0,0.9
91421,79.8,23.0,0.9
91443,94.0,49.0,0.0
91449,95.7,5.0,0.0
91468,99.9,24.0,0.0
91471,86.8,2.0,0.0
91472,66.5,9.0,0.9
91473,59.8,-71.0,0.0
91478,97.5,11.0,0.9
91479,98.9,29.0,2.0
91486,110.4,11.0,0.9
91489,45.8,42.0,0.0
91491,58.3,-4.0,0.0
91501,64.0,-38.0,0.0
91502,51.6,4.0,0.0
91503,67.9,27.0,0.9
91506,84.2,28.0,0.0
